Date,Narration,Amount,Dr/Cr
01/01/2023,Uber Ride,572.03,Dr
01/01/2023,Amazon Purchase,4254.62,Dr
04/01/2023,Insurance Premium,2708.72,Dr
05/01/2023,Swiggy Order,731.01,Dr
05/01/2023,Ola Cab,435.7,Dr
07/01/2023,Coffee Shop,384.59,Dr
08/01/2023,PVR Cinemas,575.66,Dr
10/01/2023,Water Bill,278.63,Dr
11/01/2023,Gym Membership,2353.17,Dr
12/01/2023,Uber Ride,421.21,Dr
13/01/2023,House Rent,14563.71,Dr
13/01/2023,Hotel Stay,5411.88,Dr
14/01/2023,Spa & Wellness,503.95,Dr
14/01/2023,BookMyShow Tickets,349.12,Dr
15/01/2023,Uber Ride,130.36,Dr
17/01/2023,Hotel Stay,6688.41,Dr
17/01/2023,Water Bill,369.33,Dr
18/01/2023,Rental Income,23724.96,Cr
18/01/2023,Myntra Fashion,2132.11,Dr
19/01/2023,Book Purchase,610.7,Dr
19/01/2023,Reliance Fresh,1404.89,Dr
19/01/2023,Cashback Credit,237.67,Cr
19/01/2023,Travel Booking,10197.94,Dr
20/01/2023,Maintenance Charges,1349.56,Dr
20/01/2023,Reliance Fresh,1153.38,Dr
20/01/2023,Hair Salon,958.11,Dr
21/01/2023,Hotel Stay,9520.96,Dr
22/01/2023,Book Purchase,1233.71,Dr
22/01/2023,School Fees,10801.43,Dr
23/01/2023,Restaurant Dinner,1416.87,Dr
23/01/2023,Myntra Fashion,2042.3,Dr
23/01/2023,School Fees,10838.75,Dr
23/01/2023,Airtel Mobile Bill,430.42,Dr
25/01/2023,Travel Booking,19806.94,Dr
25/01/2023,Book Purchase,486.13,Dr
25/01/2023,Metro Card Recharge,507.19,Dr
26/01/2023,Rental Income,21720.0,Cr
27/01/2023,Bonus Credit,21785.64,Cr
28/01/2023,Amazon Purchase,2609.02,Dr
28/01/2023,Flipkart Order,2187.91,Dr
28/01/2023,Myntra Fashion,710.0,Dr
29/01/2023,BookMyShow Tickets,1453.54,Dr
30/01/2023,BookMyShow Tickets,1083.95,Dr
30/01/2023,Petrol/Diesel,556.67,Dr
31/01/2023,MedPlus Medical Store,1233.92,Dr
02/02/2023,BookMyShow Tickets,1316.72,Dr
02/02/2023,Reliance Fresh,1486.81,Dr
05/02/2023,Water Bill,701.22,Dr
07/02/2023,Gym Membership,1214.09,Dr
07/02/2023,Ola Cab,230.33,Dr
08/02/2023,Hotel Stay,8833.03,Dr
10/02/2023,Uber Ride,319.67,Dr
10/02/2023,Insurance Premium,8051.27,Dr
12/02/2023,Refund Credit,4310.07,Cr
13/02/2023,BigBasket Groceries,381.54,Dr
13/02/2023,Uber Ride,220.56,Dr
14/02/2023,Interest Credit,2346.95,Cr
16/02/2023,Insurance Premium,9385.49,Dr
19/02/2023,Reliance Fresh,526.55,Dr
20/02/2023,Apollo Pharmacy,947.35,Dr
20/02/2023,Airtel Mobile Bill,691.73,Dr
20/02/2023,Apollo Pharmacy,604.69,Dr
22/02/2023,Myntra Fashion,597.36,Dr
22/02/2023,Dividend Credit,12312.48,Cr
23/02/2023,School Fees,6831.9,Dr
24/02/2023,Restaurant Dinner,629.92,Dr
27/02/2023,Flipkart Order,5070.52,Dr
27/02/2023,Myntra Fashion,1414.66,Dr
28/02/2023,Gym Membership,970.97,Dr
28/02/2023,Hotel Stay,5347.45,Dr
01/03/2023,Jio Recharge,560.06,Dr
02/03/2023,Water Bill,304.49,Dr
02/03/2023,Hair Salon,830.75,Dr
02/03/2023,Netflix Subscription,264.85,Dr
03/03/2023,Flipkart Order,2041.76,Dr
06/03/2023,Amazon Purchase,3192.31,Dr
07/03/2023,Myntra Fashion,3920.35,Dr
07/03/2023,Spotify Premium,119.0,Dr
07/03/2023,Maintenance Charges,1121.82,Dr
08/03/2023,Myntra Fashion,1833.81,Dr
09/03/2023,Airtel Mobile Bill,918.29,Dr
12/03/2023,Petrol/Diesel,2708.33,Dr
12/03/2023,Airtel Mobile Bill,650.66,Dr
13/03/2023,Ola Cab,363.9,Dr
13/03/2023,Freelance Payment,17653.71,Cr
14/03/2023,Spa & Wellness,643.74,Dr
16/03/2023,BookMyShow Tickets,787.7,Dr
17/03/2023,PVR Cinemas,253.92,Dr
20/03/2023,Travel Booking,17490.26,Dr
22/03/2023,Water Bill,587.78,Dr
22/03/2023,Zomato Food Delivery,174.17,Dr
24/03/2023,Transfer Received,6726.93,Cr
24/03/2023,Amazon Purchase,3097.45,Dr
25/03/2023,Cashback Credit,159.94,Cr
27/03/2023,Netflix Subscription,463.96,Dr
28/03/2023,Spa & Wellness,2455.58,Dr
28/03/2023,Swiggy Order,547.14,Dr
29/03/2023,Uber Ride,492.39,Dr
29/03/2023,Ola Cab,386.06,Dr
31/03/2023,Apollo Pharmacy,189.23,Dr
31/03/2023,MedPlus Medical Store,1497.29,Dr
01/04/2023,Spa & Wellness,2679.2,Dr
01/04/2023,Metro Card Recharge,347.54,Dr
02/04/2023,Airtel Mobile Bill,695.03,Dr
02/04/2023,BookMyShow Tickets,384.17,Dr
02/04/2023,Bonus Credit,9615.47,Cr
03/04/2023,Travel Booking,9648.44,Dr
03/04/2023,Bonus Credit,19127.59,Cr
03/04/2023,Rental Income,23998.38,Cr
07/04/2023,Bonus Credit,25516.69,Cr
08/04/2023,Swiggy Order,136.49,Dr
10/04/2023,Water Bill,393.9,Dr
15/04/2023,Metro Card Recharge,336.39,Dr
16/04/2023,Electricity Bill,2327.02,Dr
16/04/2023,MedPlus Medical Store,1485.14,Dr
18/04/2023,Uber Ride,137.62,Dr
19/04/2023,Spa & Wellness,2195.27,Dr
19/04/2023,Hotel Stay,3109.86,Dr
21/04/2023,Refund Credit,1841.69,Cr
22/04/2023,BookMyShow Tickets,1469.46,Dr
22/04/2023,Bonus Credit,42345.24,Cr
24/04/2023,DMart Purchase,1235.89,Dr
24/04/2023,ATM Withdrawal,4783.55,Dr
25/04/2023,Petrol/Diesel,2948.66,Dr
25/04/2023,Water Bill,709.96,Dr
27/04/2023,Amazon Purchase,4745.63,Dr
27/04/2023,ATM Withdrawal,2246.5,Dr
28/04/2023,House Rent,25737.94,Dr
28/04/2023,Swiggy Order,676.75,Dr
29/04/2023,DMart Purchase,2142.44,Dr
30/04/2023,Reliance Fresh,742.08,Dr
01/05/2023,Dividend Credit,7593.05,Cr
01/05/2023,Jio Recharge,271.58,Dr
03/05/2023,Petrol/Diesel,2118.7,Dr
05/05/2023,BookMyShow Tickets,1162.93,Dr
09/05/2023,Myntra Fashion,1731.53,Dr
10/05/2023,Online Course,2687.51,Dr
10/05/2023,Reliance Fresh,1624.31,Dr
11/05/2023,Amazon Purchase,5016.99,Dr
11/05/2023,Insurance Premium,2664.01,Dr
12/05/2023,Uber Ride,578.21,Dr
13/05/2023,Metro Card Recharge,801.05,Dr
13/05/2023,Metro Card Recharge,928.13,Dr
13/05/2023,Spa & Wellness,1031.59,Dr
14/05/2023,Ola Cab,464.41,Dr
15/05/2023,Book Purchase,313.5,Dr
15/05/2023,Amazon Purchase,2833.24,Dr
16/05/2023,Metro Card Recharge,270.76,Dr
16/05/2023,PVR Cinemas,539.99,Dr
17/05/2023,Petrol/Diesel,2533.73,Dr
17/05/2023,PVR Cinemas,749.81,Dr
18/05/2023,Metro Card Recharge,899.18,Dr
19/05/2023,BookMyShow Tickets,1375.68,Dr
20/05/2023,Dividend Credit,10990.14,Cr
21/05/2023,PVR Cinemas,321.46,Dr
