date,description,amount,transaction_type,category
2023-01-01,Dividend Credit,"Rs 4,191.34",credit,Investment
2023-01-01,Electricity Bill,"Rs 4,567.00",debit,Utilities
2023-01-02,Insurance Premium,"Rs 4,913.64",debit,Insurance
2023-01-02,School Fees,"Rs 9,363.70",debit,Education
2023-01-02,Rental Income,"Rs 10,835.47",credit,Rental
2023-01-02,MedPlus Medical Store,"Rs 1,227.96",debit,Healthcare
2023-01-02,Amazon Purchase,Rs 758.62,debit,Shopping
2023-01-02,BigBasket Groceries,"Rs 1,456.85",debit,Groceries
2023-01-04,PVR Cinemas,Rs 251.09,debit,Entertainment
2023-01-04,Amazon Purchase,"Rs 4,310.15",debit,Shopping
2023-01-04,Coffee Shop,Rs 466.46,debit,Food & Dining
2023-01-05,Hotel Stay,"Rs 2,880.45",debit,Travel
2023-01-05,Amazon Purchase,"Rs 5,810.01",debit,Shopping
2023-01-05,School Fees,"Rs 12,795.28",debit,Education
2023-01-05,Maintenance Charges,"Rs 2,135.91",debit,Housing
2023-01-06,Freelance Payment,"Rs 14,612.08",credit,Freelance
2023-01-06,Spa & Wellness,"Rs 2,984.29",debit,Personal Care
2023-01-06,Transfer Received,"Rs 33,219.16",credit,Transfer
2023-01-06,Gym Membership,"Rs 1,064.05",debit,Healthcare
2023-01-06,Electricity Bill,"Rs 4,024.26",debit,Utilities
2023-01-07,Amazon Purchase,"Rs 7,067.62",debit,Shopping
2023-01-08,Restaurant Dinner,"Rs 2,229.34",debit,Food & Dining
2023-01-08,Coffee Shop,Rs 411.21,debit,Food & Dining
2023-01-08,Airtel Mobile Bill,Rs 896.53,debit,Utilities
2023-01-09,Electricity Bill,"Rs 3,052.48",debit,Utilities
2023-01-09,Hotel Stay,"Rs 6,222.99",debit,Travel
2023-01-10,Swiggy Order,Rs 252.31,debit,Food & Dining
2023-01-10,Zomato Food Delivery,Rs 169.48,debit,Food & Dining
2023-01-10,Freelance Payment,"Rs 22,539.60",credit,Freelance
2023-01-12,Restaurant Dinner,"Rs 2,909.24",debit,Food & Dining
2023-01-12,Metro Card Recharge,Rs 963.08,debit,Transport
2023-01-13,Airtel Mobile Bill,Rs 726.52,debit,Utilities
2023-01-13,Metro Card Recharge,Rs 613.55,debit,Transport
2023-01-14,MedPlus Medical Store,Rs 587.68,debit,Healthcare
2023-01-15,Water Bill,Rs 528.22,debit,Utilities
2023-01-15,Book Purchase,Rs 263.93,debit,Education
2023-01-15,Transfer Received,"Rs 22,874.13",credit,Transfer
2023-01-15,Dividend Credit,"Rs 1,659.80",credit,Investment
2023-01-17,Amazon Purchase,Rs 285.40,debit,Shopping
2023-01-17,Uber Ride,Rs 123.16,debit,Transport
2023-01-17,Water Bill,Rs 261.83,debit,Utilities
2023-01-18,Flipkart Order,"Rs 4,466.32",debit,Shopping
2023-01-19,Electricity Bill,"Rs 3,193.48",debit,Utilities
2023-01-19,DMart Purchase,"Rs 2,340.09",debit,Groceries
