date,description,amount,transaction_type,category
2023-01-01,Myntra Fashion,2085.41,debit,Shopping
2023-01-02,School Fees,4630.14,debit,Education
2023-01-02,Metro Card Recharge,413.15,debit,Transport
2023-01-03,Insurance Premium,5157.79,debit,Insurance
2023-01-03,Metro Card Recharge,879.2,debit,Transport
2023-01-03,School Fees,8786.57,debit,Education
2023-01-03,BigBasket Groceries,1724.05,debit,Groceries
2023-01-06,Hair Salon,578.64,debit,Personal Care
2023-01-06,Airtel Mobile Bill,885.23,debit,Utilities
2023-01-06,Freelance Payment,27672.0,credit,Freelance
2023-01-08,Gym Membership,524.42,debit,Healthcare
2023-01-10,BookMyShow Tickets,352.76,debit,Entertainment
2023-01-11,Uber Ride,100.83,debit,Transport
2023-01-13,Rental Income,11827.23,credit,Rental
2023-01-14,Netflix Subscription,498.07,debit,Entertainment
2023-01-14,Flipkart Order,2807.42,debit,Shopping
2023-01-15,Amazon Purchase,4254.14,debit,Shopping
2023-01-16,School Fees,4284.03,debit,Education
2023-01-16,MedPlus Medical Store,1091.22,debit,Healthcare
2023-01-17,School Fees,3741.15,debit,Education
2023-01-17,Travel Booking,9275.55,debit,Travel
2023-01-18,Netflix Subscription,369.05,debit,Entertainment
2023-01-18,Dividend Credit,6311.99,credit,Investment
2023-01-19,Reliance Fresh,1867.64,debit,Groceries
2023-01-19,Rental Income,13913.34,credit,Rental
2023-01-19,Hair Salon,1094.93,debit,Personal Care
2023-01-20,Book Purchase,1371.57,debit,Education
2023-01-22,Netflix Subscription,527.6,debit,Entertainment
2023-01-23,ATM Withdrawal,1136.18,debit,Others
2023-01-23,Travel Booking,18308.99,debit,Travel
2023-01-24,Amazon Purchase,5517.34,debit,Shopping
2023-01-24,Petrol/Diesel,2924.69,debit,Transport
2023-01-25,Jio Recharge,251.79,debit,Utilities
2023-01-26,Metro Card Recharge,823.34,debit,Transport
2023-01-26,Hotel Stay,8144.33,debit,Travel
2023-01-26,Dividend Credit,6387.17,credit,Investment
2023-02-01,BookMyShow Tickets,1450.7,debit,Entertainment
2023-02-02,Ola Cab,115.77,debit,Transport
2023-02-02,BigBasket Groceries,673.32,debit,Groceries
2023-02-03,MedPlus Medical Store,1100.33,debit,Healthcare
2023-02-03,BigBasket Groceries,1575.77,debit,Groceries
2023-02-03,Restaurant Dinner,1167.5,debit,Food & Dining
2023-02-03,Travel Booking,14318.62,debit,Travel
2023-02-03,Airtel Mobile Bill,303.6,debit,Utilities
2023-02-03,Salary Credit,67017.49,credit,Salary
2023-02-04,Amazon Purchase,7843.2,debit,Shopping
2023-02-07,Hotel Stay,1869.6,debit,Travel
2023-02-08,Myntra Fashion,2420.81,debit,Shopping
2023-02-08,Myntra Fashion,2785.03,debit,Shopping
2023-02-09,Metro Card Recharge,384.93,debit,Transport
2023-02-10,Metro Card Recharge,581.58,debit,Transport
2023-02-10,Freelance Payment,15419.39,credit,Freelance
2023-02-13,Rental Income,9871.38,credit,Rental
2023-02-13,Maintenance Charges,2311.0,debit,Housing
2023-02-14,Netflix Subscription,210.58,debit,Entertainment
2023-02-14,Transfer Received,15941.45,credit,Transfer
2023-02-16,Book Purchase,1075.55,debit,Education
2023-02-19,Amazon Purchase,5952.25,debit,Shopping
2023-02-19,Book Purchase,1203.39,debit,Education
2023-02-20,House Rent,25212.5,debit,Housing
2023-02-20,Petrol/Diesel,2300.08,debit,Transport
2023-02-22,Salary Credit,119965.79,credit,Salary
2023-02-22,Water Bill,786.23,debit,Utilities
2023-02-23,Electricity Bill,921.6,debit,Utilities
2023-02-24,Airtel Mobile Bill,442.81,debit,Utilities
2023-02-25,Book Purchase,1425.87,debit,Education
2023-02-25,DMart Purchase,618.51,debit,Groceries
2023-02-26,Bonus Credit,13035.55,credit,Bonus
2023-02-26,Gym Membership,635.11,debit,Healthcare
2023-02-27,Maintenance Charges,2868.9,debit,Housing
2023-03-01,Coffee Shop,384.16,debit,Food & Dining
