date,description,amount,transaction_type,category
2020-01-02,YouTube Premium,INR 139.00,debit,Subscriptions
2020-01-02,Maid/Cook Salary,INR 3176.71,debit,Miscellaneous
2020-01-03,Family Restaurant,INR 2033.75,debit,Food & Dining
2020-01-05,Children's Birthday Party,INR 14167.38,debit,Entertainment
2020-01-06,Ajio Clothing,INR 802.59,debit,Shopping
2020-01-08,BigBasket Groceries,INR 2685.75,debit,Groceries
2020-01-09,Hotstar Subscription,INR 279.72,debit,Subscriptions
2020-01-09,Kids Clothing,INR 2134.39,debit,Shopping
2020-01-09,Netflix Subscription,INR 380.09,debit,Subscriptions
2020-01-09,Interest Credit,INR 3638.97,credit,Income
2020-01-10,Car Servicing,INR 10617.83,debit,Transportation
2020-01-10,YouTube Premium,INR 139.00,debit,Subscriptions
2020-01-11,Maid/Cook Salary,INR 4979.70,debit,Miscellaneous
2020-01-12,Reliance Fresh,INR 216.21,debit,Groceries
2020-01-12,Rapido Bike Taxi,INR 114.72,debit,Transportation
2020-01-12,Household Repairs,INR 5101.31,debit,Housing
2020-01-13,BookMyShow Tickets,INR 480.27,debit,Entertainment
2020-01-13,Children's Birthday Party,INR 9343.12,debit,Entertainment
2020-01-14,Refund Credit,INR 1735.67,credit,Income
2020-01-14,Toys & Games,INR 475.85,debit,Shopping
2020-01-15,Bonus Credit,INR 69252.78,credit,Income
2020-01-16,Children's Birthday Party,INR 6131.01,debit,Entertainment
2020-01-16,BookMyShow Tickets,INR 1034.38,debit,Entertainment
2020-01-17,Toys & Games,INR 533.92,debit,Shopping
2020-01-19,Amazon Purchase,INR 5310.82,debit,Shopping
2020-01-19,YouTube Premium,INR 139.00,debit,Subscriptions
2020-01-19,Milk Monthly,INR 1005.65,debit,Groceries
2020-01-21,Household Repairs,INR 1846.42,debit,Housing
2020-01-22,Household Repairs,INR 7332.95,debit,Housing
2020-01-23,Interest Credit,INR 3540.87,credit,Income
2020-01-23,Refund Credit,INR 4806.96,credit,Income
2020-01-24,Cashback Credit,INR 615.17,credit,Income
2020-01-27,Bonus Credit,INR 11971.63,credit,Income
2020-01-28,Flipkart Order,INR 3078.80,debit,Shopping
2020-01-30,BigBasket Groceries,INR 2668.43,debit,Groceries
2020-01-31,Bonus Credit,INR 24066.83,credit,Income
2020-01-31,Rapido Bike Taxi,INR 198.91,debit,Transportation
2020-02-02,Ola Cab,INR 235.67,debit,Transportation
2020-02-02,Swiggy Order,INR 878.78,debit,Food & Dining
2020-02-04,Swiggy Order,INR 309.21,debit,Food & Dining
2020-02-05,Rental Income,INR 14925.64,credit,Income
2020-02-07,Uber Ride,INR 380.84,debit,Transportation
2020-02-10,School Bus Fees,INR 3487.17,debit,Education
2020-02-11,Flipkart Order,INR 4644.44,debit,Shopping
2020-02-12,Flipkart Order,INR 2322.42,debit,Shopping
2020-02-13,Children's Birthday Party,INR 3227.61,debit,Entertainment
2020-02-14,Hotstar Subscription,INR 762.62,debit,Subscriptions
2020-02-16,Toys & Games,INR 4837.41,debit,Shopping
2020-02-16,Netflix Subscription,INR 352.07,debit,Subscriptions
2020-02-16,Maid/Cook Salary,INR 3515.64,debit,Miscellaneous
2020-02-17,Refund Credit,INR 4429.28,credit,Income
2020-02-17,Toys & Games,INR 1911.49,debit,Shopping
2020-02-18,More Supermarket,INR 399.92,debit,Groceries
2020-02-20,Husband Salary,INR 142100.15,credit,Income
2020-02-20,Rental Income,INR 13250.50,credit,Income
2020-02-21,Wife Salary,INR 93918.01,credit,Income
2020-02-23,Family Restaurant,INR 3721.16,debit,Food & Dining
2020-02-23,Reliance Fresh,INR 212.17,debit,Groceries
2020-02-24,Hotstar Subscription,INR 633.54,debit,Subscriptions
2020-02-25,Rental Income,INR 14224.42,credit,Income
2020-02-26,Amazon Purchase,INR 5206.41,debit,Shopping
2020-02-26,Family Vacation,INR 49413.35,debit,Travel
2020-02-26,Amazon Prime,INR 625.79,debit,Subscriptions
2020-02-26,Vegetable Vendor,INR 690.05,debit,Groceries
2020-02-27,More Supermarket,INR 1128.43,debit,Groceries
2020-02-27,Ola Cab,INR 161.45,debit,Transportation
2020-02-28,Car Servicing,INR 7934.93,debit,Transportation
2020-02-29,School Bus Fees,INR 2744.00,debit,Education
2020-02-29,Bonus Credit,INR 50741.08,credit,Income
2020-02-29,Tuition Teacher,INR 3777.14,debit,Education
2020-03-02,Tuition Teacher,INR 5313.91,debit,Education
2020-03-03,Tuition Teacher,INR 5785.67,debit,Education
2020-03-03,Amazon Purchase,INR 2245.79,debit,Shopping
2020-03-03,Wife Salary,INR 83299.60,credit,Income
2020-03-04,Swiggy Order,INR 538.49,debit,Food & Dining
2020-03-04,Tuition Teacher,INR 7065.29,debit,Education
2020-03-05,YouTube Premium,INR 139.00,debit,Subscriptions
2020-03-05,Zomato Food Delivery,INR 590.17,debit,Food & Dining
2020-03-06,Bonus Credit,INR 55911.58,credit,Income
2020-03-06,Car EMI,INR 9284.54,debit,Transportation
2020-03-07,Car Servicing,INR 2145.98,debit,Transportation
2020-03-07,Hotstar Subscription,INR 516.56,debit,Subscriptions
2020-03-09,Interest Credit,INR 4816.11,credit,Income
2020-03-09,Reliance Fresh,INR 1249.51,debit,Groceries
2020-03-09,Car EMI,INR 15911.56,debit,Transportation
2020-03-09,BigBasket Groceries,INR 3339.19,debit,Groceries
2020-03-09,Children's Birthday Party,INR 7497.80,debit,Entertainment
2020-03-10,Kids Clothing,INR 1328.24,debit,Shopping
2020-03-12,Hotstar Subscription,INR 352.06,debit,Subscriptions
2020-03-14,Refund Credit,INR 784.62,credit,Income
2020-03-16,Hotstar Subscription,INR 360.52,debit,Subscriptions
2020-03-16,Spotify Premium,INR 119.00,debit,Subscriptions
2020-03-18,Rapido Bike Taxi,INR 154.61,debit,Transportation
2020-03-20,Rapido Bike Taxi,INR 189.53,debit,Transportation
2020-03-20,Ajio Clothing,INR 3096.35,debit,Shopping
2020-03-21,Meesho Order,INR 1767.16,debit,Shopping
2020-03-21,Rapido Bike Taxi,INR 171.65,debit,Transportation
2020-03-21,Ola Cab,INR 355.52,debit,Transportation
2020-03-21,Milk Monthly,INR 938.27,debit,Groceries
2020-03-23,Tuition Teacher,INR 6315.86,debit,Education
2020-03-23,Rapido Bike Taxi,INR 70.32,debit,Transportation
2020-03-23,Spotify Premium,INR 119.00,debit,Subscriptions
2020-03-23,Myntra Fashion,INR 901.82,debit,Shopping
2020-03-25,Home Appliance Purchase,INR 24099.61,debit,Shopping
2020-03-25,Ola Cab,INR 272.80,debit,Transportation
2020-03-26,DMart Purchase,INR 1580.72,debit,Groceries
